Location,Loc,MedianAgeMarriage,Marriage,Divorce
Alabama,AL,25.3,20.2,12.7
Alaska,AK,25.2,26,12.5
Arizona,AZ,25.8,20.3,10.8
Arkansas,AR,24.3,26.4,13.5
California,CA,26.8,19.1,8
Colorado,CO,25.7,23.5,11.6
Connecticut,CT,27.6,17.1,6.7
Delaware,DE,26.6,23.1,8.9
District of Columbia,DC,29.7,17.7,6.3
Florida,FL,26.4,17,8.5
Georgia,GA,25.9,22.1,11.5
Hawaii,HI,26.9,24.9,8.3
Idaho,ID,23.2,25.8,7.7
Illinois,IL,27,17.9,8
Indiana,IN,25.7,19.8,11
Iowa,IA,25.4,21.5,10.2
Kansas,KS,25,22.1,10.6
Kentucky,KY,24.8,22.2,12.6
Louisiana,LA,25.9,20.6,11
Maine,ME,26.4,13.5,13
Maryland,MD,27.3,18.3,8.8
Massachusetts,MA,28.5,15.8,7.8
Michigan,MI,26.4,16.5,9.2
Minnesota,MN,26.3,15.3,7.4
Mississippi,MS,25.8,19.3,11.1
Missouri,MO,25.6,18.6,9.5
Montana,MT,25.7,18.5,9.1
Nebraska,NE,25.4,19.6,8.8
New Hampshire,NH,26.8,16.7,10.1
New Jersey,NJ,27.7,14.8,6.1
New Mexico,NM,25.8,20.4,10.2
New York,NY,28.4,16.8,6.6
North Carolina,NC,25.7,20.4,9.9
North Dakota,ND,25.3,26.7,8
Ohio,OH,26.3,16.9,9.5
Oklahoma,OK,24.4,23.8,12.8
Oregon,OR,26,18.9,10.4
Pennsylvania,PA,27.1,15.5,7.7
Rhode Island,RI,28.2,15,9.4
South Carolina,SC,26.4,18.1,8.1
South Dakota,SD,25.6,20.1,10.9
Tennessee,TN,25.2,19.4,11.4
Texas,TX,25.2,21.5,10
Utah,UT,23.3,29.6,10.2
Vermont,VT,26.9,16.4,9.6
Virginia,VA,26.4,20.5,8.9
Washington,WA,25.9,21.4,10
West Virginia,WV,25,22.2,10.9
Wisconsin,WI,26.3,17.2,8.3
Wyoming,WY,24.2,30.7,10.3
